BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
4.5,5.3,152.0,7.3,0.154,26.2,5.208,0.24,24.0,39.97356727571915
4.5,4.1,203.0,5.5,0.374,4.4,6.6,0.427,24.0,43.69636046464426
3.8,6.2,242.0,7.1,0.37,21.8,6.984,0.456,23.0,40.70056648254716
1.4,2.2,171.0,9.3,0.01,2.6,2.488,0.01,26.0,42.01050944419373
1.5,2.1,153.0,9.2,0.0,2.2,2.328,0.0,24.0,8.011640237728415
3.6,6.1,348.0,11.4,0.062,12.4,5.496,0.163,29.0,58.0413298946838
0.7,2.7,118.0,9.5,0.079,3.4,2.747,0.081,24.9,56.558974762338245
3.1,6.2,253.0,3.3,0.149,11.6,3.42,0.206,24.0,52.889554936846594
1.0,3.7,131.0,9.6,0.058,23.4,2.295,0.082,22.7,48.65579190362935
2.1,4.7,440.0,8.5,0.226,9.8,5.832,0.278,23.0,53.38262353604711
0.6,2.9,117.0,10.5,0.064,17.6,2.492,0.067,22.5,44.44178221209767
2.8,6.8,396.0,8.1,0.276,13.4,6.028,0.324,26.1,37.8784053517952
4.2,5.4,230.0,5.8,0.134,7.4,4.224,0.154,24.0,36.36618718268979
0.7,3.3,135.0,12.0,0.088,16.8,3.044,0.089,23.6,44.19954768258613
2.0,4.3,232.0,7.9,0.163,4.2,4.86,0.187,25.0,40.34379989323088
3.1,5.0,296.0,7.4,0.267,13.6,5.771,0.271,24.1,37.39977384129307
0.5,3.1,132.0,11.6,0.112,19.2,2.429,0.126,22.6,42.01050944419373
1.8,4.5,512.0,9.8,0.038,0.2,9.144,0.058,24.0,35.80546314291989
1.6,3.6,279.0,8.0,0.187,6.2,4.5,0.221,21.0,44.678179193088255
0.7,3.6,129.0,9.4,0.079,3.4,2.623,0.093,24.9,54.21213151260241
4.7,7.8,315.0,6.1,0.274,9.7,4.856,0.282,26.8,37.39977384129307
1.0,3.7,146.0,9.6,0.099,20.4,2.715,0.111,23.2,39.97356727571915
1.4,4.0,121.0,9.7,0.035,24.8,2.041,0.063,22.7,44.19954768258613
3.2,5.0,329.0,7.9,0.298,1.0,5.34,0.288,23.0,41.04481232989572
1.4,4.5,381.0,12.8,0.067,7.4,4.992,0.086,29.0,51.93431438775962
1.2,3.9,159.0,9.1,0.053,8.0,2.324,0.058,21.6,61.31645309259551
5.2,6.2,312.0,4.9,0.326,4.0,4.704,0.35,25.0,36.8965866233512
2.8,4.5,222.0,6.0,0.029,8.0,2.304,0.096,27.0,63.93299169269105
1.5,4.8,377.0,9.5,0.226,6.6,5.256,0.259,25.0,49.54822504782753
2.1,5.9,323.0,10.3,0.331,16.4,4.536,0.422,25.0,59.06294583795177
2.1,5.1,494.0,12.0,0.182,4.4,3.168,0.259,26.0,57.42414526740612
1.2,2.0,140.0,8.4,0.014,2.4,2.064,0.024,25.0,33.9007926412541
2.6,4.1,340.0,10.3,0.072,5.8,4.08,0.091,24.0,46.773341117012215
0.9,4.2,193.0,6.5,0.114,6.0,3.188,0.128,22.4,53.85209110379971
1.5,4.0,188.0,7.8,0.081,6.6,2.857,0.104,22.2,62.37143561573257
1.1,2.4,164.0,8.8,0.024,3.4,2.0,0.029,27.0,45.988122154734825
3.2,7.2,470.0,10.6,0.293,23.6,5.412,0.451,27.0,72.56771017449377
4.9,10.1,462.0,5.9,0.576,16.0,12.648,0.792,27.0,46.96020390967473
0.8,4.2,162.0,8.0,0.076,6.0,2.433,0.085,21.8,57.67569751172296
1.8,4.2,473.0,13.2,0.034,8.4,3.612,0.058,28.0,55.53311555588719
3.1,7.4,455.0,9.3,0.354,14.2,10.785,0.363,26.8,59.58766983732095
1.2,2.7,194.0,11.0,0.058,5.2,2.16,0.053,28.0,48.498828555020765
1.3,4.1,221.0,8.3,0.107,9.9,3.979,0.125,23.5,56.34799888912059
1.9,4.7,217.0,10.0,0.131,8.6,3.515,0.144,22.6,59.223330881746776
1.5,3.8,169.0,9.2,0.027,6.6,2.253,0.039,21.7,61.44413385377492
9.9,12.5,545.0,9.0,0.334,79.1,10.625,0.393,22.6,53.28597250794117
1.6,4.0,165.0,8.6,0.041,5.8,2.175,0.051,21.6,60.69759929366079
2.0,4.7,286.0,8.0,0.067,32.4,4.704,0.086,27.0,59.58766983732095
4.2,8.3,504.0,8.9,0.335,13.6,7.055,0.348,24.1,56.059448675246855
4.5,8.1,479.0,14.1,0.202,16.8,4.008,0.36,27.0,65.96993386116563
0.9,3.9,177.0,14.1,0.016,2.8,2.888,0.019,3.1,58.844936866093775
3.0,4.9,303.0,12.4,0.154,8.2,9.36,0.168,1.1,40.70056648254716
2.3,5.5,123.0,13.9,0.117,4.4,4.684,0.12,2.2,60.2303681330762
2.2,7.2,266.0,12.2,0.115,19.2,11.22,0.144,0.7,50.75095382755331
1.6,3.1,292.0,14.5,0.043,12.8,6.408,0.086,0.3,45.988122154734825
3.8,7.7,317.0,12.2,0.624,6.2,10.104,0.682,6.9,39.18834831344176
1.5,5.3,197.0,15.5,0.092,4.6,3.969,0.1,1.6,61.85811933132551
4.1,8.6,576.0,12.9,0.051,10.8,14.868,0.089,9.1,54.47374701647841
1.7,5.9,211.0,15.0,0.088,4.0,4.317,0.097,1.9,60.46676511406678
4.1,6.4,267.0,14.0,0.183,6.6,5.682,0.265,2.3,64.47547135301602
2.0,2.2,99.0,14.5,0.014,4.4,2.848,0.019,0.0,43.69636046464426
3.3,5.3,191.0,12.1,0.499,4.0,8.58,0.523,0.7,50.10104735539413
